,pet_id,primary_breed,mixed_breed,age,gender,shelter_name,num_photos,pet_location,adoption_fee
4057,73728813,Labrador Retriever,True,Adult,Female,Newton County Animal Control,1,"Covington, GA",
4058,73728814,Labrador Retriever,True,Adult,Male,Newton County Animal Control,1,"Covington, GA",
4059,73728815,Labrador Retriever,True,Adult,Female,Newton County Animal Control,1,"Covington, GA",
4060,73728816,Labrador Retriever,True,Adult,Male,Newton County Animal Control,1,"Covington, GA",
4061,73729121,Rottweiler,True,Young,Male,Waiting Under the Willow Foundation / WUWF Rescue,4,"Atlanta, GA",250.0
4062,73729142,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,1,"Chamblee, GA",
4063,73729158,Chihuahua,True,Adult,Male,Fulton County Animal Services,2,"Atlanta, GA",
4064,73729159,Mixed Breed,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
4065,73729160,Terrier,True,Adult,Female,Fulton County Animal Services,3,"Atlanta, GA",
4066,73729235,Mixed Breed,True,Adult,Male,Waiting Under the Willow Foundation / WUWF Rescue,6,"Atlanta, GA",250.0
4067,73729472,Mixed Breed,True,Young,Female,Humane Society of Harris County,2,"Hamilton, GA",
4068,73729894,Mixed Breed,True,Senior,Male,Dekalb County Animal Services,0,"Chamblee, GA",
4069,73729943,Mixed Breed,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
4070,73729944,Mixed Breed,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
4071,73729945,Whippet,True,Adult,Female,Fulton County Animal Services,1,"Atlanta, GA",
4072,73730035,American Bulldog,True,Adult,Female,A Welcome Home Animal Rescue,0,"Atlanta, GA",
4073,73730036,American Staffordshire Terrier,True,Adult,Male,A Welcome Home Animal Rescue,0,"Atlanta, GA",
4074,73730323,Siberian Husky,True,Adult,Male,Waiting Under the Willow Foundation / WUWF Rescue,6,"Atlanta, GA",250.0
4075,73732522,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,3,"Chamblee, GA",
4076,73732711,Mixed Breed,True,Young,Male,Douglas County Animal Shelter,6,"Douglasville, GA",
4077,73733640,Pit Bull Terrier,True,Adult,Male,Gwinnett County Animal Control and Welfare,2,"Lawrenceville, GA",
4078,73733641,Labrador Retriever,True,Young,Female,Gwinnett County Animal Control and Welfare,2,"Lawrenceville, GA",
4079,73733642,French Bulldog,True,Adult,Male,Gwinnett County Animal Control and Welfare,1,"Lawrenceville, GA",
4080,73733643,Bichon Frise,True,Adult,Male,Gwinnett County Animal Control and Welfare,1,"Lawrenceville, GA",
4081,73733644,Pit Bull Terrier,True,Young,Female,Gwinnett County Animal Control and Welfare,1,"Lawrenceville, GA",
