,pet_id,primary_breed,mixed_breed,age,gender,size,shelter_name,shelter_id,zip_code,num_photos,pet_location,health,adoption_fee,adoption_fee2
117,69883518,Hound,True,Adult,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,6,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
118,69370765,Mixed Breed,False,Young,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,4,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
119,69117971,Terrier,True,Adult,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,3,"Centerville, GA",Vaccinations up to date.,,
120,72145543,Mixed Breed,False,Young,Female,Medium,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",,,
121,72037365,Labrador Retriever,True,Baby,Male,Small,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",,,
122,72037363,Labrador Retriever,True,Baby,Female,Small,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",,,
123,72037361,Mixed Breed,False,Baby,Male,Small,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",Spayed / neutered.,,
124,72017480,Labrador Retriever,True,Young,Female,Small,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",Spayed / neutered.,,
125,72017484,Mixed Breed,False,Adult,Female,Large,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",,,
126,72017479,Mixed Breed,False,Young,Male,Small,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",,,
127,71921132,Labrador Retriever,True,Young,Female,Small,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",,,
128,71921106,Labrador Retriever,True,Young,Male,Small,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",,,
129,71921120,Mixed Breed,False,Young,Female,Medium,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",Spayed / neutered.,,
130,71921118,Labrador Retriever,True,Young,Female,Small,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",Spayed / neutered.,,
131,71219021,Bearded Collie,True,Young,Male,Large,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",Spayed / neutered.,,
132,71198333,Mixed Breed,False,Young,Female,Large,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",Spayed / neutered.,,
133,72481712,Labrador Retriever,True,Young,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA",Spayed / neutered.,,
134,72321340,Hound,True,Young,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
135,72280887,Australian Cattle Dog / Blue Heeler,True,Young,Male,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
136,71963278,Labrador Retriever,True,Adult,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA","Spayed / neutered, special needs.",,
137,71390748,Jack Russell Terrier,True,Adult,Female,Small,Furever After Rescue,GA793,31210,6,"Macon, GA",Spayed / neutered.,,
138,71003593,Pit Bull Terrier,True,Adult,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
139,70950490,Boxer,True,Young,Female,Large,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
140,70580940,Pit Bull Terrier,True,Adult,Male,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
141,70250580,Pit Bull Terrier,True,Adult,Male,Large,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
142,69961299,American Staffordshire Terrier,False,Adult,Female,Large,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
143,69886854,Labrador Retriever,True,Young,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA",Spayed / neutered.,,
144,69681026,Pit Bull Terrier,False,Young,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA",Spayed / neutered.,,
145,69626055,Hound,True,Adult,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA",Spayed / neutered.,,
146,65025998,Labrador Retriever,True,Young,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
147,64817541,Australian Cattle Dog / Blue Heeler,True,Adult,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
148,60013363,Pit Bull Terrier,True,Adult,Male,Large,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
149,59809326,Labrador Retriever,True,Adult,Male,Medium,Furever After Rescue,GA793,31210,5,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
150,56729973,American Bulldog,True,Adult,Male,Large,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
151,56023663,Pit Bull Terrier,True,Adult,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
152,55504662,Pit Bull Terrier,True,Adult,Male,Large,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
153,49917428,Bull Terrier,True,Adult,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
154,49710624,Bull Terrier,True,Adult,Female,Medium,Furever After Rescue,GA793,31210,6,"Macon, GA","Vaccinations up to date, spayed / neutered.",,
155,73737377,Beagle,True,Adult,Male,Medium,City of Perry Animal Control,GA1063,31069,4,"Perry, GA",,,
156,52584276,Australian Shepherd,True,Senior,Female,Medium,Australian Shepherds Furever,CA2261,31069,4,"Perry, GA","Vaccinations up to date, spayed / neutered.",195,195.0
157,72880179,Labrador Retriever,True,Adult,Male,Medium,Friends of Perry Animal Shelter,GA168,31069,1,"Perry, GA",Spayed / neutered.,,
158,72723063,Labrador Retriever,True,Adult,Male,Medium,Friends of Perry Animal Shelter,GA168,31069,3,"Perry, GA","Vaccinations up to date, spayed / neutered.",,
159,72631355,Terrier,False,Adult,Female,Medium,Friends of Perry Animal Shelter,GA168,31069,1,"Perry, GA","Vaccinations up to date, spayed / neutered.",,
160,66652192,Mixed Breed,False,Adult,Female,Large,"Humane Society of Houston County, Inc",GA553,31028,6,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
161,65410113,Terrier,False,Adult,Female,Large,"Humane Society of Houston County, Inc",GA553,31028,2,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
162,65410095,Terrier,False,Young,Male,Large,"Humane Society of Houston County, Inc",GA553,31028,2,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
163,65162463,Mixed Breed,True,Adult,Female,Large,"Humane Society of Houston County, Inc",GA553,31028,6,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
164,59863814,Terrier,True,Adult,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,6,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
165,59863747,Terrier,True,Adult,Female,Medium,"Humane Society of Houston County, Inc",GA553,31028,6,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
166,56685655,Terrier,True,Adult,Male,Large,"Humane Society of Houston County, Inc",GA553,31028,6,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
167,54760230,Labrador Retriever,False,Adult,Male,Large,"Humane Society of Houston County, Inc",GA553,31028,4,"Centerville, GA","Vaccinations up to date, spayed / neutered, special needs.",,
168,54705069,Terrier,True,Young,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,6,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
169,53555685,Mixed Breed,True,Adult,Male,Large,"Humane Society of Houston County, Inc",GA553,31028,3,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
170,53029779,Yorkshire Terrier,False,Adult,Male,Small,"Humane Society of Houston County, Inc",GA553,31028,6,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
171,51517788,Retriever,False,Young,Male,Medium,"Humane Society of Houston County, Inc",GA553,31028,1,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
172,48782415,Jack Russell Terrier,False,Adult,Male,Small,"Humane Society of Houston County, Inc",GA553,31028,4,"Centerville, GA","Vaccinations up to date, spayed / neutered.",,
173,72376692,Pit Bull Terrier,True,Baby,Male,Small,Macon Bibb County Animal Welfare,GA99,31216,1,"Macon, GA",,,
