,pet_id,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,fee_waived,pet_location,characteristics,house_trained,health,adoption_fee,clean_pet_names
30,73640610,Pit Bull Terrier,None,True,Adult,Male,Medium,Unknown,None,Short,Affectionate Adoptions,NY1427,30324,5,True,False,True,False,"Atlanta, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",,Mumford
31,73640495,German Shepherd Dog,None,True,Adult,Female,Medium,Unknown,None,Short,Affectionate Adoptions,NY1427,30324,5,True,False,True,False,"Atlanta, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",,Queen
32,73630516,Doberman Pinscher,None,False,Young,Male,Large,Black,None,Short,Doberman Rescue of Atlanta,GA919,30307,5,Unknown,False,True,False,"Atlanta, GA","Athletic, Affectionate, Friendly, Playful, Smart",N/A,"Vaccinations up to date, spayed / neutered.",350,Legend
33,73601690,Cavalier King Charles Spaniel,Maltese,True,Adult,Male,Small,"Tricolor (Brown, Black, & White)",None,Long,Tiny Paws Rescue,GA1042,30318,4,Unknown,True,True,False,"Atlanta, GA","Friendly, Gentle, Loyal, Affectionate, Dignified, Funny",Yes,"Vaccinations up to date, spayed / neutered.",475,Eugene
34,73538544,American Bulldog,None,True,Adult,Female,Medium,Unknown,None,Unknown,Canine CellMates,GA809,30318,3,Unknown,Unknown,Unknown,False,"Atlanta, GA",N/A,N/A,N/A,,Luna
35,73538542,Cane Corso,Boxer,True,Young,Female,Large,Unknown,None,Unknown,Canine CellMates,GA809,30318,3,True,Unknown,True,False,"Atlanta, GA",N/A,N/A,Spayed / neutered.,,G.G.
36,73538546,Bull Terrier,Smooth Collie,True,Adult,Male,Medium,Unknown,None,Unknown,Canine CellMates,GA809,30318,3,Unknown,Unknown,Unknown,False,"Atlanta, GA",N/A,N/A,Spayed / neutered.,,Monty
37,73538545,Schnauzer,Maltese,True,Young,Male,Small,Unknown,None,Unknown,Canine CellMates,GA809,30318,3,Unknown,Unknown,Unknown,False,"Atlanta, GA",N/A,N/A,Spayed / neutered.,,D.C.
38,73538543,Labrador Retriever,None,False,Adult,Female,Medium,Unknown,None,Unknown,Canine CellMates,GA809,30318,3,Unknown,Unknown,Unknown,False,"Atlanta, GA",N/A,N/A,Spayed / neutered.,,Bama
39,73234453,Miniature Pinscher,None,True,Young,Female,Small,Brown / Chocolate,Yellow / Tan / Blond / Fawn,Short,Tiny Paws Rescue,GA1042,30318,3,True,True,True,False,"Atlanta, GA","Affectionate, Athletic, Curious, Friendly, Funny, Loyal, Playful, Quiet, Smart, Loves",Yes,"Vaccinations up to date, spayed / neutered.",325,Reese
40,73207316,Miniature Poodle,Aussiedoodle,True,Young,Female,Small,Black,White / Cream,Long,Tiny Paws Rescue,GA1042,30318,4,Unknown,True,True,False,"Atlanta, GA","Curious, Friendly, Independent, Loyal, Playful, Smart, Athletic, Affectionate, Funny, Shy, Quiet",Yes,"Vaccinations up to date, spayed / neutered.",450,Poppy
41,73207085,Yorkshire Terrier,None,False,Senior,Female,Small,Golden,Yellow / Tan / Blond / Fawn,Long,Tiny Paws Rescue,GA1042,30318,5,Unknown,True,True,False,"Atlanta, GA","Affectionate, Friendly, Funny, Loyal, Loves, Playful",Yes,"Vaccinations up to date, spayed / neutered.",300,Mitzi
