pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health
71803609,TJ,Pit Bull Terrier,Great Dane,True,Adult,Male,Large,"Tricolor (Brown, Black, & White)",,,Paws in Middle Georgia Animal Rescue,GA1028,31093,4,True,False,True,,False,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
69123537,Oatmeal Creme Pie,Terrier,,True,Adult,Female,Medium,,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,False,True,True,,False,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered, special needs. Visually Impaired."
73604103,Wanda,Black Labrador Retriever,,True,Young,Female,Large,Black,,Short,"Humane Society of Houston County, Inc",GA553,31028,1,,,,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
73589335,Kicks,Brittany Spaniel,Border Collie,True,Young,Male,Large,Black,White / Cream,Long,"Humane Society of Houston County, Inc",GA553,31028,2,True,,True,,False,"Centerville, GA",N/A,Yes,Vaccinations up to date.
73575673,Honey,Dachshund,,True,Young,Female,Small,Yellow / Tan / Blond / Fawn,,Short,"Humane Society of Houston County, Inc",GA553,31028,2,True,,True,,False,"Centerville, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
73510774,Sally,Labrador Retriever,,True,Baby,Female,Large,Black,White / Cream,Short,"Humane Society of Houston County, Inc",GA553,31028,4,True,True,True,,False,"Centerville, GA",N/A,Yes,Vaccinations up to date.
73510633,Gilly,Labrador Retriever,,True,Baby,Female,Large,Black,White / Cream,Short,"Humane Society of Houston County, Inc",GA553,31028,4,True,True,True,,False,"Centerville, GA",N/A,Yes,Vaccinations up to date.
73406310,Bear,Jack Russell Terrier,,False,Adult,Male,Small,Black,Yellow / Tan / Blond / Fawn,Short,"Humane Society of Houston County, Inc",GA553,31028,3,False,False,False,False,False,"Centerville, GA","Playful, Protective, Curious, Athletic, Smart, loving, active, Friendly",N/A,"Vaccinations up to date, spayed / neutered."
73251696,Tarzan,Black Labrador Retriever,,True,Young,Male,Medium,Black,White / Cream,Short,"Humane Society of Houston County, Inc",GA553,31028,3,True,,True,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
72603600,Miss Savannah,Mixed Breed,,False,Baby,Female,Medium,White / Cream,Black,Medium,"Humane Society of Houston County, Inc",GA553,31028,1,,,,,False,"Centerville, GA",N/A,N/A,Vaccinations up to date.
